ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN
243,Al-Sawahreh Viewpoint Trails,Nature & Trails,Jericho,Low,Youth,Adventure,Open hillside viewpoints in the Jericho region provide broad views toward the Jordan Valley and Dead Sea basin.,31.859361,35.459795,OpenStreetMap Photon (city centroid fallback),City-level,20,مسارات إطلالة الصوّاحرة,إطلالات تلال مفتوحة في منطقة أريحا توفر مناظر واسعة نحو غور الأردن وحوض البحر الميت.,Open hillside viewpoints in the Jericho region provide broad views toward the Jordan Valley and Dead Sea basin.
244,Ein Qiniya Valley Trail,Nature & Trails,Ramallah,Low,Youth,Adventure,A countryside walking route through olive-covered hills and seasonal valley scenery west of Ramallah.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,10,مسار وادي عين قينيا,مسار مشي ريفي عبر تلال مغطاة بالزيتون ومناظر وادٍ موسمية غرب رام الله.,A countryside walking route through olive-covered hills and seasonal valley scenery west of Ramallah.
245,Taybeh-Ein Samiya Trail,Nature & Trails,Ramallah,Low,Youth,Adventure,A rural route linking Taybeh’s hill landscapes with spring and valley scenery toward Ein Samiya.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,10,مسار الطيبة - عين سامية,مسار ريفي يربط مناظر تلال الطيبة بمناظر النبع والوادي نحو عين سامية.,A rural route linking Taybehâ€™s hill landscapes with spring and valley scenery toward Ein Samiya.
246,Wadi al-Makhrour Nature Landscape,Nature & Trails,Bethlehem,Low,All,Relaxing,"A protected cultural landscape of terraces, olive trees, and valley views near Beit Jala and Battir.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,5,منظر وادي المخرور الطبيعي,منظر ثقافي محمي من المصاطب وأشجار الزيتون وإطلالات الوادي قرب بيت جالا وبتير.,"A protected cultural landscape of terraces, olive trees, and valley views near Beit Jala and Battir."
247,Wadi al-Quff Family Picnic Area,Family/Recreational,Hebron,Low,Family,Family,"A recreation-focused part of the Wadi al-Quff landscape suitable for picnics, shaded rest, and easy outdoor time.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,10,منطقة نزهة وادي القف العائلية,جزء ترفيهي من منظر وادي القف مناسب للنزهات والراحة المظللة والوقت الخارجي السهل.,"A recreation-focused part of the Wadi al-Quff landscape suitable for picnics, shaded rest, and easy outdoor time."
248,Hebron Agricultural Terraces Walk,Nature & Trails,Hebron,Low,All,Relaxing,"A rural walking experience through traditional stone terraces, olive groves, and southern Palestinian countryside.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,10,مسار مصاطب الخليل الزراعية,تجربة مشي ريفية عبر مصاطب حجرية تقليدية وبساتين زيتون وريف جنوب فلسطين.,"A rural walking experience through traditional stone terraces, olive groves, and southern Palestinian countryside."
249,Dura Countryside Trails,Nature & Trails,Hebron,Low,Youth,Adventure,"Open countryside routes around Dura offer hill views, agricultural landscapes, and opportunities for guided hiking.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,15,مسارات دورا الريفية,مسارات ريفية مفتوحة حول دورا توفر إطلالات تلال ومناظر زراعية وفرص للمشي المُرشد.,"Open countryside routes around Dura offer hill views, agricultural landscapes, and opportunities for guided hiking."
250,Halhul Vineyard Landscapes,Nature & Trails,Hebron,Low,All,Relaxing,The highland vineyards around Halhul create a distinctive agricultural landscape for seasonal rural visits.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,15,مناظر كروم حلحول,تخلق كروم العنب في مرتفعات حلحول منظراً زراعياً مميزاً لزيارات ريفية موسمية.,The highland vineyards around Halhul create a distinctive agricultural landscape for seasonal rural visits.
251,Bani Na'im Countryside Viewpoints,Nature & Trails,Hebron,Low,Youth,Adventure,Rural viewpoints around Bani Na’im look across the southern hills and are best visited with local guidance.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,10,إطلالات ريف بني نعيم,"إطلالات ريفية حول بني نعيم تطل على التلال الجنوبية، ويُفضّل زيارتها بإرشاد محلي.",Rural viewpoints around Bani Naâ€™im look across the southern hills and are best visited with local guidance.
252,Bethlehem Community Garden,Family/Recreational,Bethlehem,Low,Family,Family,A small-scale community green space offering informal recreation and a relaxed setting for local families.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,15,حديقة بيت لحم المجتمعية,مساحة خضراء مجتمعية صغيرة توفر ترفيهاً غير رسمي وأجواءً هادئة للعائلات المحلية.,A small-scale community green space offering informal recreation and a relaxed setting for local families.
253,Beit Jala Public Park,Family/Recreational,Bethlehem,Low,Family,Family,"A municipal-style green area in Beit Jala intended for walking, sitting, and children’s outdoor play.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,10,حديقة بيت جالا العامة,مساحة خضراء بلدية في بيت جالا مخصصة للمشي والجلوس ولعب الأطفال الخارجي.,"A municipal-style green area in Beit Jala intended for walking, sitting, and childrenâ€™s outdoor play."
254,An-Najah National University,Education,Nablus,High,Youth,Educational,"An-Najah National University, in Nablus, is one of the largest and most prominent Palestinian universities, with a campus of historic and modern significance.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,130,جامعة النجاح الوطنية,"جامعة النجاح الوطنية في نابلس من أكبر وأبرز الجامعات الفلسطينية، وحرمها ذو أهمية تاريخية وحديثة.","An-Najah National University, in Nablus, is one of the largest and most prominent Palestinian universities, with a campus of historic and modern significance."
255,Al Manara Square,Historic Old City,Ramallah,Low,All,Cultural,"Ramallah’s central square is known for its lion statues and lively streets, making it a practical starting point for exploring the city.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,20,ساحة المنارة,"ساحة رام الله المركزية تشتهر بتماثيل الأسود وشوارعها النابضة بالحياة، وتُعد نقطة انطلاق عملية لاستكشاف المدينة.","Ramallahâ€™s central square is known for its lion statues and lively streets, making it a practical starting point for exploring the city."
256,Yasser Arafat Tomb,Historic,Ramallah,Low,All,Religious,The memorial complex honors Yasser Arafat and combines national memory with a distinctive modern architectural setting.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,0,ضريح ياسر عرفات,يُخلّد المجمع التذكاري ياسر عرفات ويجمع بين الذاكرة الوطنية وإطار معماري حديث مميز.,The memorial complex honors Yasser Arafat and combines national memory with a distinctive modern architectural setting.
257,Yasser Arafat Museum,Museum,Ramallah,Medium,Youth,Cultural,"The museum presents the history of the Palestinian national movement through documents, personal objects, and multimedia displays.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,45,متحف ياسر عرفات,يعرض المتحف تاريخ الحركة الوطنية الفلسطينية عبر الوثائق والمقتنيات الشخصية والعروض متعددة الوسائط.,"The museum presents the history of the Palestinian national movement through documents, personal objects, and multimedia displays."
258,Ramallah Cultural Palace,Cultural,Ramallah,Medium,Family,Family,"A major venue for Palestinian theatre, music, exhibitions, and public cultural events.",31.8916,35.191006,OpenStreetMap Photon,Matched,25,قصر رام الله الثقافي,منصة رئيسية للمسرح والموسيقى والمعارض والفعاليات الثقافية العامة الفلسطينية.,"A major venue for Palestinian theatre, music, exhibitions, and public cultural events."
259,Dar Zahran Heritage Building,Museum,Ramallah,Medium,Family,Cultural,"This restored heritage house in the old centre hosts photography, art, and exhibits connected to Ramallah’s urban memory.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,50,مبنى دار زهران التراثي,يستضيف هذا البيت التراثي المُرمّم في المركز القديم معارض للتصوير والفن مرتبطة بذاكرة رام الله الحضرية.,"This restored heritage house in the old centre hosts photography, art, and exhibits connected to Ramallahâ€™s urban memory."
260,Mahmoud Darwish Museum,Museum,Ramallah,Medium,Youth,Cultural,"The museum and memorial space celebrates Mahmoud Darwish’s poetry, life, and lasting contribution to Palestinian literature.",31.892586,35.203085,OpenStreetMap Photon,Matched,50,متحف محمود درويش,يحتفي المتحف والمساحة التذكارية بشعر محمود درويش وحياته وإسهامه الدائم في الأدب الفلسطيني.,"The museum and memorial space celebrates Mahmoud Darwishâ€™s poetry, life, and lasting contribution to Palestinian literature."
261,Khalil Sakakini Cultural Center,Family/Recreational,Ramallah,Medium,Youth,Family,"An independent cultural centre offering exhibitions, talks, workshops, and artistic programming in a historic setting.",31.898725,35.201753,OpenStreetMap Photon,Matched,50,مركز خليل السكاكيني الثقافي,مركز ثقافي مستقل يقدم معارض ومحاضرات وورش عمل وبرامج فنية في موقع تاريخي.,"An independent cultural centre offering exhibitions, talks, workshops, and artistic programming in a historic setting."
262,The Palestinian Museum,Museum,Ramallah,Medium,Family,Cultural,"Located in Birzeit near Ramallah, the museum uses exhibitions, gardens, and research to interpret Palestinian history and culture.",31.963031,35.183383,OpenStreetMap Photon,Matched,55,المتحف الفلسطيني,"يقع المتحف في بيرزيت قرب رام الله، ويستخدم المعارض والحدائق والبحث لتفسير التاريخ والثقافة الفلسطينية.","Located in Birzeit near Ramallah, the museum uses exhibitions, gardens, and research to interpret Palestinian history and culture."
263,Ottoman Court,Historic Old City,Ramallah,Low,All,Cultural,The nineteenth-century Ottoman-era stone building reflects Ramallah’s civic history and traditional urban architecture.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,5,السرايا العثمانية,يعكس المبنى الحجري من القرن التاسع عشر من العصر العثماني تاريخ رام الله المدني وعمارتها الحضرية التقليدية.,The nineteenth-century Ottoman-era stone building reflects Ramallahâ€™s civic history and traditional urban architecture.
264,Al-Hambra Palace,Historic Old City,Ramallah,Medium,All,Cultural,"This heritage mansion, dating to 1926, offers a glimpse of Palestinian domestic architecture and local hospitality.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,40,قصر الحمراء,"يقدم هذا المنزل التراثي، الذي يعود تاريخه إلى عام 1926، لمحة عن العمارة السكنية الفلسطينية والضيافة المحلية.","This heritage mansion, dating to 1926, offers a glimpse of Palestinian domestic architecture and local hospitality."
265,Greek Orthodox Church of the Transfiguration,Religious,Ramallah,Low,All,Religious,A functioning Orthodox church that represents Ramallah’s Christian heritage and community life.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,0,كنيسة التجلي الأرثوذكسية اليونانية,كنيسة أرثوذكسية فاعلة تمثل التراث المسيحي والحياة المجتمعية في رام الله.,A functioning Orthodox church that represents Ramallahâ€™s Christian heritage and community life.
266,Holy Family Catholic Church,Religious,Ramallah,Low,All,Religious,A Catholic parish church serving the local community and visitors interested in Ramallah’s religious diversity.,31.90494,35.199654,OpenStreetMap Photon,Matched,0,كنيسة العائلة المقدسة الكاثوليكية,كنيسة رعوية كاثوليكية تخدم المجتمع المحلي والزوار المهتمين بالتنوع الديني في رام الله.,A Catholic parish church serving the local community and visitors interested in Ramallahâ€™s religious diversity.
267,Evangelical Lutheran Church,Religious,Ramallah,Low,All,Religious,A historic Protestant congregation whose church and community work form part of Ramallah’s modern heritage.,31.898947,35.201624,OpenStreetMap Photon,Matched,0,الكنيسة اللوثرية الإنجيلية,جماعة بروتستانتية تاريخية تشكّل كنيستها وأعمالها المجتمعية جزءاً من التراث الحديث لرام الله.,A historic Protestant congregation whose church and community work form part of Ramallahâ€™s modern heritage.
268,Taybeh Village,Historic Old City,Ramallah,Low,All,Cultural,"An ancient Christian village northeast of Ramallah, known for stone architecture, churches, and local traditions.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,15,قرية الطيبة,"قرية مسيحية قديمة شمال شرق رام الله، تشتهر بعمارتها الحجرية وكنائسها وتقاليدها المحلية.","An ancient Christian village northeast of Ramallah, known for stone architecture, churches, and local traditions."
269,"St. George Church, Taybeh",Religious,Ramallah,Low,All,Religious,"A historic church in Palestine’s only predominantly Christian village, associated with Taybeh’s long Christian tradition.",31.95275,35.302487,OpenStreetMap Photon,Matched,0,"كنيسة القديس جاورجيوس، الطيبة","كنيسة تاريخية في القرية الفلسطينية الوحيدة ذات الأغلبية المسيحية، ترتبط بالتقليد المسيحي العريق للطيبة.","A historic church in Palestineâ€™s only predominantly Christian village, associated with Taybehâ€™s long Christian tradition."
270,Taybeh Brewery,Family/Recreational,Ramallah,Medium,Youth,Family,Palestine’s first microbrewery offers pre-arranged tours and connects craft production with Taybeh’s seasonal cultural events.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,50,مصنع بيرة الطيبة,"أول مصنع جعة صغير في فلسطين، يقدم جولات مسبقة الترتيب ويربط الإنتاج الحرفي بفعاليات الطيبة الثقافية الموسمية.",Palestineâ€™s first microbrewery offers pre-arranged tours and connects craft production with Taybehâ€™s seasonal cultural events.
271,Birzeit Historic Village,Historic Old City,Ramallah,Low,All,Cultural,Birzeit’s old stone houses and village lanes preserve traditional architecture alongside a lively contemporary community.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,10,قرية بيرزيت التاريخية,تحافظ بيوت بيرزيت الحجرية القديمة وأزقتها على العمارة التقليدية إلى جانب مجتمع معاصر نابض بالحياة.,Birzeitâ€™s old stone houses and village lanes preserve traditional architecture alongside a lively contemporary community.
272,Birzeit University,Education,Ramallah,Medium,Youth,Educational,The university campus is a major Palestinian educational and cultural landmark with public events and architectural interest.,31.96005,35.182412,OpenStreetMap Photon,Matched,55,جامعة بيرزيت,"حرم الجامعة معلم تعليمي وثقافي فلسطيني رئيسي، ويحتضن فعاليات عامة وعمارة ذات أهمية.",The university campus is a major Palestinian educational and cultural landmark with public events and architectural interest.
273,Ein Qiniya Valley,Nature & Trails,Ramallah,Low,Youth,Adventure,"A rural valley west of Ramallah suited to short walks, landscape viewing, and exploring olive-covered hills.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,15,وادي عين قينيا,واد ريفي غرب رام الله مناسب للمشي القصير ومشاهدة المناظر الطبيعية واستكشاف التلال المغطاة بالزيتون.,"A rural valley west of Ramallah suited to short walks, landscape viewing, and exploring olive-covered hills."
274,Al-Bireh Old City,Historic Old City,Ramallah,Low,All,Cultural,"Historic lanes, traditional buildings, and religious landmarks in neighbouring Al-Bireh provide a broader urban heritage experience.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,20,البلدة القديمة في البيرة,توفر الأزقة التاريخية والمباني التقليدية والمعالم الدينية في البيرة المجاورة تجربة تراث حضري أوسع.,"Historic lanes, traditional buildings, and religious landmarks in neighbouring Al-Bireh provide a broader urban heritage experience."
275,Church of the Nativity,Religious,Bethlehem,Low,All,Religious,A UNESCO-listed basilica built over the traditional birthplace of Jesus and one of Palestine’s most important pilgrimage sites.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0,كنيسة المهد,"بازيليكا مدرجة في قائمة اليونسكو للتراث العالمي، بُنيت فوق مكان ولادة المسيح التقليدي، وهي من أهم مواقع الحج في فلسطين.",A UNESCO-listed basilica built over the traditional birthplace of Jesus and one of Palestineâ€™s most important pilgrimage sites.
276,Manger Square,Historic Old City,Bethlehem,Low,All,Cultural,The city’s principal public square sits beside the Church of the Nativity and connects major pilgrimage routes with cafés and markets.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0,ساحة المهد,الساحة العامة الرئيسية في المدينة تقع بجانب كنيسة المهد وتربط طرق الحج الرئيسية بالمقاهي والأسواق.,The cityâ€™s principal public square sits beside the Church of the Nativity and connects major pilgrimage routes with cafأ©s and markets.
277,Milk Grotto Chapel,Religious,Bethlehem,Low,All,Religious,A small chapel traditionally associated with the Holy Family and known for its pale limestone grotto.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0,كنيسة مغارة الحليب,"كنيسة صغيرة ترتبط تقليدياً بالعائلة المقدسة، وتشتهر بمغارتها الحجرية الجيرية الشاحبة.",A small chapel traditionally associated with the Holy Family and known for its pale limestone grotto.
278,Bethlehem Old City,Historic Old City,Bethlehem,Low,All,Cultural,"A network of historic lanes, stone houses, churches, workshops, and markets surrounding the Nativity complex.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0,البلدة القديمة في بيت لحم,شبكة من الأزقة التاريخية والبيوت الحجرية والكنائس والورش والأسواق المحيطة بمجمع المهد.,"A network of historic lanes, stone houses, churches, workshops, and markets surrounding the Nativity complex."
279,Shepherds' Field Greek Orthodox Church,Religious,Bethlehem,Low,All,Religious,A domed church in Beit Sahour associated with the biblical shepherds and built above ancient remains.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0,كنيسة حقل الرعاة الأرثوذكسية اليونانية,"كنيسة ذات قبة في بيت ساحور ترتبط بالرعاة التوراتيين، وبُنيت فوق بقايا قديمة.",A domed church in Beit Sahour associated with the biblical shepherds and built above ancient remains.
280,Chapel of the Shepherds' Field,Religious,Bethlehem,Low,All,Religious,The Franciscan chapel commemorates the shepherds’ story and forms part of the pilgrimage landscape east of Bethlehem.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0,كنيسة حقل الرعاة,تُخلّد الكنيسة الفرنسيسكانية قصة الرعاة وتشكّل جزءاً من مشهد الحج شرق بيت لحم.,The Franciscan chapel commemorates the shepherdsâ€™ story and forms part of the pilgrimage landscape east of Bethlehem.
281,Beit Sahour Old Town,Historic Old City,Bethlehem,Low,All,Cultural,"The historic centre of Beit Sahour combines stone architecture, Christian heritage, and access to the Shepherds’ Field sites.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,20,بلدة بيت ساحور القديمة,يجمع المركز التاريخي لبيت ساحور بين العمارة الحجرية والتراث المسيحي والوصول إلى مواقع حقل الرعاة.,"The historic centre of Beit Sahour combines stone architecture, Christian heritage, and access to the Shepherdsâ€™ Field sites."
282,Walled Off Hotel Museum,Archaeological,Bethlehem,Medium,Youth,Adventure,Banksy’s museum and gallery near the separation wall presents political art and contemporary Palestinian perspectives.,31.719302,35.203156,OpenStreetMap Photon,Matched,60,متحف فندق ولد أوف,متحف وصالة عرض بانكسي قرب جدار الفصل يقدم فناً سياسياً ومنظورات فلسطينية معاصرة.,Banksyâ€™s museum and gallery near the separation wall presents political art and contemporary Palestinian perspectives.
283,Bethlehem Museum,Museum,Bethlehem,Medium,Family,Cultural,"A local heritage museum documenting Bethlehem’s traditions, historic objects, and social life.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,55,متحف بيت لحم,متحف تراثي محلي يوثّق تقاليد بيت لحم ومقتنياتها التاريخية وحياتها الاجتماعية.,"A local heritage museum documenting Bethlehemâ€™s traditions, historic objects, and social life."
284,Palestinian Heritage Center,Museum,Bethlehem,Medium,Family,Cultural,"The centre presents Palestinian embroidery, costumes, crafts, and cultural traditions through displays and activities.",31.717338,35.202478,OpenStreetMap Photon,Matched,50,المركز الفلسطيني للتراث,يقدم المركز التطريز والأزياء والحرف والتقاليد الفلسطينية عبر عروض وأنشطة.,"The centre presents Palestinian embroidery, costumes, crafts, and cultural traditions through displays and activities."
285,Solomon's Pools,Archaeological,Bethlehem,Low,Youth,Adventure,Three ancient reservoirs south of Bethlehem form a striking historic water system surrounded by wooded hills.,31.688166,35.170109,OpenStreetMap Photon,Matched,0,برك سليمان,ثلاثة خزانات مياه قديمة جنوب بيت لحم تشكّل نظام مياه تاريخياً مذهلاً محاطاً بتلال حرجية.,Three ancient reservoirs south of Bethlehem form a striking historic water system surrounded by wooded hills.
286,Mar Saba Monastery,Religious,Bethlehem,Medium,Youth,Religious,A dramatic Greek Orthodox monastery built into the cliffs of the Kidron Valley and reached through a rugged landscape.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,35,دير مار سابا,"دير أرثوذكسي يوناني مثير مبني في منحدرات وادي قدرون، ويُصل إليه عبر منظر طبيعي وعر.",A dramatic Greek Orthodox monastery built into the cliffs of the Kidron Valley and reached through a rugged landscape.
287,Artas Village and Springs,Nature & Trails,Bethlehem,Low,Youth,Adventure,"A fertile valley south of Bethlehem known for springs, gardens, agricultural traditions, and the historic convent nearby.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,10,قرية وينابيع عرطاس,واد خصب جنوب بيت لحم يشتهر بينابيعه وحدائقه وتقاليده الزراعية والدير التاريخي القريب.,"A fertile valley south of Bethlehem known for springs, gardens, agricultural traditions, and the historic convent nearby."
288,"St. George Monastery, Al-Khader",Religious,Bethlehem,Low,All,Religious,A local Christian shrine and monastery connected with Al-Khader’s religious traditions and annual celebrations.,31.844076,35.411778,OpenStreetMap Photon,Matched,0,"دير القديس جاورجيوس، الخضر",مزار ودير مسيحي محلي مرتبط بتقاليد الخضر الدينية واحتفالاته السنوية.,A local Christian shrine and monastery connected with Al-Khaderâ€™s religious traditions and annual celebrations.
289,Battir Terraces,Nature & Trails,Bethlehem,Low,Youth,Adventure,"UNESCO-listed agricultural terraces with ancient water channels, olive groves, and scenic walking routes west of Bethlehem.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,15,مصاطب بتير,مصاطب زراعية مدرجة في قائمة اليونسكو تضم قنوات مياه قديمة وبساتين زيتون ومسارات مشي خلابة غرب بيت لحم.,"UNESCO-listed agricultural terraces with ancient water channels, olive groves, and scenic walking routes west of Bethlehem."
290,Beit Jala Old City,Historic Old City,Bethlehem,Low,All,Cultural,"Historic lanes, stone houses, churches, and olive-growing traditions define this hillside town beside Bethlehem.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,10,البلدة القديمة في بيت جالا,تحدد الأزقة التاريخية والبيوت الحجرية والكنائس وتقاليد زراعة الزيتون هذه البلدة التلية بجانب بيت لحم.,"Historic lanes, stone houses, churches, and olive-growing traditions define this hillside town beside Bethlehem."
291,"St. Nicholas Church, Beit Jala",Religious,Bethlehem,Low,All,Religious,A historic church representing Beit Jala’s Christian heritage and its long-standing local religious community.,31.715736,35.185807,OpenStreetMap Photon,Matched,0,"كنيسة القديس نيقولاوس، بيت جالا",كنيسة تاريخية تمثل التراث المسيحي والجالية الدينية المحلية العريقة في بيت جالا.,A historic church representing Beit Jalaâ€™s Christian heritage and its long-standing local religious community.
292,Cremisan Monastery and Valley,Religious,Bethlehem,Medium,Youth,Religious,"A monastery and vineyard landscape near Beit Jala, valued for its religious history and views across the surrounding hills.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,30,دير ووادي كريمزان,"منظر ديري وكرم عنب قرب بيت جالا، ذو قيمة لتاريخه الديني وإطلالاته على التلال المحيطة.","A monastery and vineyard landscape near Beit Jala, valued for its religious history and views across the surrounding hills."
293,Bethlehem Peace Center,Family/Recreational,Bethlehem,Medium,Family,Family,"A central cultural and visitor facility beside Manger Square that hosts exhibitions, events, and tourism information.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,60,مركز بيت لحم للسلام,منشأة ثقافية وزوار مركزية بجانب ساحة المهد تستضيف معارض وفعاليات ومعلومات سياحية.,"A central cultural and visitor facility beside Manger Square that hosts exhibitions, events, and tourism information."
294,Ibrahimi Mosque / Cave of the Patriarchs,Religious,Hebron,Low,All,Religious,A major sacred complex in Hebron associated with the patriarchs and central to the city’s religious and historical identity.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,0,الحرم الإبراهيمي / كهف الأبطال,"مجمع مقدس رئيسي في الخليل مرتبط بالأنبياء، وهو محوري للهوية الدينية والتاريخية للمدينة.",A major sacred complex in Hebron associated with the patriarchs and central to the cityâ€™s religious and historical identity.
295,Hebron Old City,Historic Old City,Hebron,Low,All,Cultural,"The UNESCO-listed old city contains Mamluk architecture, covered markets, historic houses, and important religious sites.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,0,البلدة القديمة في الخليل,تضم البلدة القديمة المدرجة في قائمة اليونسكو عمارة مملوكية وأسواقاً مسقوفة وبيوتاً تاريخية ومواقع دينية مهمة.,"The UNESCO-listed old city contains Mamluk architecture, covered markets, historic houses, and important religious sites."
296,Old Hebron Museum,Museum,Hebron,Medium,Family,Cultural,The museum in a rehabilitated historic building presents local stories and a three-dimensional interpretation of the nearby old city.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,60,متحف الخليل القديم,يقدم المتحف في مبنى تاريخي مُرمّم قصصاً محلية وتفسيراً ثلاثي الأبعاد للبلدة القديمة المجاورة.,The museum in a rehabilitated historic building presents local stories and a three-dimensional interpretation of the nearby old city.
297,Hebron Glass and Ceramic Factory,Historic Old City,Hebron,Medium,Family,Family,"Traditional workshops demonstrate Hebron’s distinctive coloured glass and ceramic production, with opportunities to buy locally made pieces.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,25,مصنع الخليل للزجاج والخزف,"تعرض ورش تقليدية إنتاج الخليل المميز من الزجاج الملون والخزف، مع فرص لشراء قطع مصنوعة محلياً.","Traditional workshops demonstrate Hebronâ€™s distinctive coloured glass and ceramic production, with opportunities to buy locally made pieces."
298,Al-Jabari Palace,Historic Old City,Hebron,Low,All,Cultural,A historic urban palace reflecting Hebron’s traditional architecture and the city’s former elite residential culture.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,10,قصر الجعبري,قصر حضري تاريخي يعكس العمارة التقليدية للخليل وثقافة السكن النخبوية السابقة للمدينة.,A historic urban palace reflecting Hebronâ€™s traditional architecture and the cityâ€™s former elite residential culture.
299,Qasr al-Basha,Historic Old City,Hebron,Low,All,Cultural,A historic building in the old city that illustrates Hebron’s Ottoman and civic architectural layers.,31.50451,34.466268,OpenStreetMap Photon,Matched,10,قصر الباشا,مبنى تاريخي في البلدة القديمة يوضح طبقات العمارة العثمانية والمدنية في الخليل.,A historic building in the old city that illustrates Hebronâ€™s Ottoman and civic architectural layers.
300,Al-Haram Al-Ibrahimi Museum,Museum,Hebron,Medium,Family,Cultural,A heritage-oriented museum experience connected with the sacred complex and Hebron’s long religious history.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,55,متحف الحرم الإبراهيمي,تجربة متحفية تراثية مرتبطة بالمجمع المقدس وتاريخ الخليل الديني العريق.,A heritage-oriented museum experience connected with the sacred complex and Hebronâ€™s long religious history.
301,Hebron's Old Souq,Historic Old City,Hebron,Low,All,Cultural,"Covered market streets offer traditional foods, household goods, leather, ceramics, and everyday views of old Hebron commerce.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,0,سوق الخليل القديم,توفر شوارع السوق المسقوفة أطعمة وسلعاً منزلية تقليدية وجلوداً وخزفاً ومشاهد يومية من تجارة الخليل القديمة.,"Covered market streets offer traditional foods, household goods, leather, ceramics, and everyday views of old Hebron commerce."
302,Hebron Pottery Workshops,Family/Recreational,Hebron,Medium,Family,Family,Traditional pottery studios preserve local craft skills and provide an opportunity to see handmade Palestinian ceramics.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,50,ورش الخليل للفخار,تحافظ استوديوهات الفخار التقليدية على مهارات الحرف المحلية وتتيح فرصة لمشاهدة الخزف الفلسطيني المصنوع يدوياً.,Traditional pottery studios preserve local craft skills and provide an opportunity to see handmade Palestinian ceramics.
303,Mamre / Oak of Abraham,Religious,Hebron,Low,All,Religious,A religiously significant site near Hebron associated with Abrahamic tradition and the ancient landscape of Mamre.,31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,0,ممرا / بلوطة إبراهيم,موقع ذو أهمية دينية قرب الخليل يرتبط بالتقليد الإبراهيمي ومنظر ممرا القديم.,A religiously significant site near Hebron associated with Abrahamic tradition and the ancient landscape of Mamre.
